category_id,category_name,category_alias
246,Afghan,afghani
247,African,african
248,Arabian,arabian
249,Argentine,argentine
250,Armenian,armenian
251,"Asian Fusion",asianfusion
252,Australian,australian
253,Austrian,austrian
254,Bangladeshi,bangladeshi
255,Basque,basque
256,Barbeque,bbq
257,Belgian,belgian
258,Bistros,bistros
259,Brasseries,brasseries
260,Brazilian,brazilian
261,"Breakfast & Brunch",breakfast_brunch
262,British,british
263,Buffets,buffets
264,Bulgarian,bulgarian
265,Burgers,burgers
266,Burmese,burmese
267,Cafes,cafes
268,Cafeteria,cafeteria
269,Cajun/Creole,cajun
270,Cambodian,cambodian
271,Caribbean,caribbean
272,Catalan,catalan
273,Cheesesteaks,cheesesteaks
274,"Chicken Wings",chicken_wings
275,"Chicken Shop",chickenshop
276,Chinese,chinese
277,"Comfort Food",comfortfood
278,Creperies,creperies
279,Cuban,cuban
280,Czech,czech
281,Delis,delis
282,Diners,diners
283,Ethiopian,ethiopian
284,Filipino,filipino
285,"Fish & Chips",fishnchips
286,Fondue,fondue
287,"Food Court",food_court
288,"Food Stands",foodstands
289,French,french
290,Gastropubs,gastropubs
291,German,german
292,Gluten-Free,gluten_free
293,Greek,greek
294,Halal,halal
295,Hawaiian,hawaiian
296,Himalayan/Nepalese,himalayan
297,"Hot Dogs",hotdog
298,"Fast Food",hotdogs
299,"Hot Pot",hotpot
300,Hungarian,hungarian
301,Iberian,iberian
302,Indonesian,indonesian
303,Indian,indpak
304,Irish,irish
305,Italian,italian
306,Japanese,japanese
307,Kebab,kebab
308,Korean,korean
309,Kosher,kosher
310,Laotian,laotian
311,"Latin American",latin
312,Malaysian,malaysian
313,Mediterranean,mediterranean
314,Mexican,mexican
315,"Middle Eastern",mideastern
316,"Modern European",modern_european
317,Mongolian,mongolian
318,Moroccan,moroccan
319,"American (New)",newamerican
320,Pakistani,pakistani
321,Persian/Iranian,persian
322,Peruvian,peruvian
323,Pizza,pizza
324,Polish,polish
325,Portuguese,portuguese
326,Poutineries,poutineries
327,"Live/Raw Food",raw_food
328,Russian,russian
329,Salad,salad
330,Sandwiches,sandwiches
331,Scandinavian,scandinavian
332,Scottish,scottish
333,Seafood,seafood
334,Singaporean,singaporean
335,Slovakian,slovakian
336,"Soul Food",soulfood
337,Soup,soup
338,Southern,southern
339,Spanish,spanish
340,"Sri Lankan",srilankan
341,Steakhouses,steak
342,"Supper Clubs",supperclubs
343,"Sushi Bars",sushi
344,Syrian,syrian
345,Taiwanese,taiwanese
346,"Tapas Bars",tapas
347,"Tapas/Small Plates",tapasmallplates
348,Tex-Mex,tex-mex
349,Thai,thai
350,"American (Traditional)",tradamerican
351,Turkish,turkish
352,Ukrainian,ukrainian
353,Uzbek,uzbek
354,Vegan,vegan
355,Vegetarian,vegetarian
356,Vietnamese,vietnamese
357,Wok,wok
358,Calabrian,calabrian
359,Cantonese,cantonese
360,Colombian,colombian
361,"Dim Sum",dimsum
362,Dominican,dominican
363,Egyptian,egyptian
364,Falafel,falafel
365,Haitian,haitian
366,Lebanese,lebanese
367,"Puerto Rican",puertorican
368,Ramen,ramen
369,Salvadoran,salvadoran
370,Sardinian,sardinian
371,Senegalese,senegalese
372,Shanghainese,shanghainese
373,"South African",southafrican
374,Szechuan,szechuan
375,Teppanyaki,teppanyaki
376,Trinidadian,trinidadian
377,Tuscan,tuscan
378,Venezuelan,venezuelan
